scenario_id,scenario_label,component_type,quality_state_before,route_id,expected_quality_score_after,survival_probability_at_min_system_life,survival_probability_at_warranty_life,posterior_warranty_failure_probability,chance_constraint_alpha,min_system_reliability_reference,chance_constraint_satisfied_flag,reliability_risk_index,cvar_reliability_risk_weight,warranty_reserve_cost_rmb,expected_failure_cost_rmb,min_system_reliability_threshold,stage5_chance_pass
S001,nominal,bed,A,R1,0.879,0.918335,0.987272,0.040105,0.948369,0.934626,0,0.277929,0.664351,2256.36,12346.24,0.93,False
S001,nominal,bed,A,R2,0.89029,0.917618,0.98706,0.043265,0.948369,0.934626,0,0.285848,0.667518,2434.14,12524.02,0.93,False
S001,nominal,bed,A,R6,0.89783,0.96585,0.995865,0.027629,0.948369,0.934626,1,0.271103,0.661621,1554.46,11644.34,0.93,True
S001,nominal,bed,B,R2,0.75204,0.917378,0.986989,0.049993,0.948369,0.934626,0,0.301275,0.673689,2812.68,12902.56,0.93,False
S001,nominal,bed,B,R3,0.80781,0.92377,0.988823,0.064252,0.948369,0.934626,0,0.34085,0.689519,3614.89,13704.77,0.93,False
S001,nominal,bed,B,R5,0.81238,0.922996,0.988608,0.069151,0.948369,0.934626,0,0.349555,0.693001,3890.51,13980.39,0.93,False
S001,nominal,bed,B,R6,0.89783,0.96585,0.995865,0.027837,0.948369,0.934626,1,0.283517,0.666586,1566.16,11656.04,0.93,True
S001,nominal,bed,C,R3,0.69626,0.903372,0.982514,0.106191,0.948369,0.934626,0,0.373149,0.702439,5974.41,16064.29,0.93,False
S001,nominal,bed,C,R4,0.78271,0.900371,0.981475,0.12514,0.948369,0.934626,0,0.402816,0.714305,7040.5,17130.38,0.93,False
S001,nominal,bed,C,R5,0.72158,0.902641,0.982263,0.112113,0.948369,0.934626,0,0.380512,0.705384,6307.6,16397.48,0.93,False
S001,nominal,bed,C,R6,0.8977,0.953333,0.992975,0.02863,0.948369,0.934626,1,0.299182,0.672852,1610.73,11700.61,0.93,True
S001,nominal,bed,C,R7,0.0,0.0,0.0,0.357985,0.948369,0.934626,0,0.662059,0.818003,20140.58,30230.46,0.93,False
S001,nominal,bed,D,R4,0.544,0.87185,0.970207,0.278775,0.948369,0.934626,0,0.515867,0.759526,15684.15,25774.03,0.93,False
S001,nominal,bed,D,R6,0.8973,0.93983,0.989185,0.030454,0.948369,0.934626,0,0.317269,0.680087,1713.39,11803.27,0.93,False
S001,nominal,bed,D,R7,0.0,0.0,0.0,0.35981,0.948369,0.934626,0,0.683439,0.826555,20243.25,30333.13,0.93,False
S001,nominal,boring_spindle,A,R1,0.87886,0.633846,0.911915,0.053302,0.95195,0.918735,0,0.283647,0.676323,3842.3,12425.16,0.93,False
S001,nominal,boring_spindle,A,R2,0.89012,0.692801,0.928021,0.053542,0.95195,0.918735,0,0.290962,0.679249,3859.57,12442.43,0.93,False
S001,nominal,boring_spindle,A,R6,0.89783,0.940217,0.989802,0.028873,0.95195,0.918735,0,0.273727,0.672355,2081.31,10664.17,0.93,False
S001,nominal,boring_spindle,B,R2,0.74818,0.622243,0.907753,0.064309,0.95195,0.918735,0,0.307514,0.685869,4635.7,13218.56,0.93,False
S001,nominal,boring_spindle,B,R3,0.8045,0.883721,0.976479,0.066602,0.95195,0.918735,0,0.344608,0.700707,4801.02,13383.88,0.93,False
S001,nominal,boring_spindle,B,R5,0.80911,0.882735,0.976094,0.071546,0.95195,0.918735,0,0.353466,0.70425,5157.38,13740.24,0.93,False
S001,nominal,boring_spindle,B,R6,0.89783,0.940217,0.989802,0.029073,0.95195,0.918735,0,0.286125,0.677314,2095.73,10678.59,0.93,False
S001,nominal,boring_spindle,C,R3,0.69108,0.837289,0.960223,0.110748,0.95195,0.918735,0,0.378155,0.714126,7983.33,16566.19,0.93,False
S001,nominal,boring_spindle,C,R4,0.77715,0.854985,0.964049,0.128695,0.95195,0.918735,0,0.407695,0.725942,9277.01,17859.86,0.93,False
S001,nominal,boring_spindle,C,R5,0.71566,0.854302,0.964459,0.11577,0.95195,0.918735,0,0.385284,0.716977,8345.29,16928.15,0.93,False
S001,nominal,boring_spindle,C,R6,0.89769,0.922609,0.984101,0.030373,0.95195,0.918735,0,0.301913,0.683629,2189.42,10772.27,0.93,False
S001,nominal,boring_spindle,C,R7,0.0,0.0,0.0,0.359475,0.95195,0.918735,0,0.669582,0.830697,25912.82,34495.68,0.93,False
S001,nominal,boring_spindle,D,R4,0.5362,0.821056,0.946209,0.286876,0.95195,0.918735,0,0.525084,0.772898,20679.51,29262.37,0.93,False
S001,nominal,boring_spindle,D,R6,0.89728,0.904491,0.977168,0.032768,0.95195,0.918735,0,0.320166,0.69093,2362.06,10944.92,0.93,False
S001,nominal,boring_spindle,D,R7,0.0,0.0,0.0,0.3596,0.95195,0.918735,0,0.685423,0.837033,25921.83,34504.69,0.93,False
S001,nominal,carriage,A,R1,0.87712,0.898509,0.983096,0.052996,0.92,0.93,0,0.23812,0.575248,624.66,5028.65,0.93,False
S001,nominal,carriage,A,R2,0.88917,0.897792,0.982861,0.055785,0.92,0.93,0,0.245227,0.578091,657.53,5061.53,0.93,False
S001,nominal,carriage,A,R6,0.89783,0.955346,0.994204,0.031149,0.92,0.93,1,0.229182,0.571673,367.15,4771.15,0.93,True
S001,nominal,carriage,B,R2,0.74187,0.897485,0.982759,0.063306,0.92,0.93,0,0.261271,0.584508,746.18,5150.17,0.93,False
S001,nominal,carriage,B,R3,0.80052,0.905069,0.985175,0.075532,0.92,0.93,0,0.296479,0.598591,890.29,5294.29,0.93,False
S001,nominal,carriage,B,R5,0.80502,0.904291,0.984936,0.080094,0.92,0.93,0,0.304342,0.601737,944.06,5348.05,0.93,False
S001,nominal,carriage,B,R6,0.89783,0.955346,0.994204,0.031349,0.92,0.93,1,0.241846,0.576738,369.51,4773.51,0.93,True
S001,nominal,carriage,C,R3,0.68703,0.8825,0.977461,0.116824,0.92,0.93,0,0.329303,0.611721,1376.99,5780.98,0.93,False
S001,nominal,carriage,C,R5,0.7108,0.881806,0.977198,0.122163,0.92,0.93,0,0.335715,0.614286,1439.92,5843.91,0.93,False
S001,nominal,carriage,C,R6,0.89773,0.940637,0.990476,0.032288,0.92,0.93,1,0.257861,0.583145,380.58,4784.57,0.93,True
S001,nominal,carriage,C,R7,0.0,0.0,0.0,0.353638,0.92,0.93,0,0.59081,0.716324,4168.28,8572.28,0.93,False
S001,nominal,carriage,D,R6,0.89736,0.925174,0.985734,0.034199,0.92,0.93,1,0.276053,0.590421,403.1,4807.1,0.93,False
S001,nominal,carriage,D,R7,0.0,0.0,0.0,0.365238,0.92,0.93,0,0.644267,0.737707,4305.01,8709.01,0.93,False
S001,nominal,chuck,A,R1,0.87748,0.850834,0.974593,0.0524,0.9476,0.93226,0,0.254924,0.628524,476.84,4804.09,0.93,False
S001,nominal,chuck,A,R2,0.88941,0.850004,0.974274,0.055256,0.9476,0.93226,0,0.26211,0.631398,502.83,4830.09,0.93,False
S001,nominal,chuck,A,R6,0.89783,0.930046,0.990814,0.030878,0.9476,0.93226,0,0.246066,0.62498,280.99,4608.24,0.93,False
S001,nominal,chuck,B,R2,0.74187,0.849662,0.974143,0.06282,0.9476,0.93226,0,0.278083,0.637787,571.66,4898.92,0.93,False
S001,nominal,chuck,B,R3,0.79734,0.858284,0.977349,0.075558,0.9476,0.93226,0,0.31412,0.652202,687.58,5014.83,0.93,False
S001,nominal,chuck,B,R5,0.80279,0.857371,0.977021,0.080095,0.9476,0.93226,0,0.322033,0.655367,728.86,5056.12,0.93,False
S001,nominal,chuck,B,R6,0.89783,0.930046,0.990814,0.031078,0.9476,0.93226,0,0.258681,0.630026,282.81,4610.06,0.93,False
S001,nominal,chuck,C,R3,0.6832,0.832543,0.96708,0.117636,0.9476,0.93226,0,0.347435,0.665528,1070.49,5397.74,0.93,False
S001,nominal,chuck,C,R5,0.70801,0.831787,0.966747,0.122883,0.9476,0.93226,0,0.353694,0.668031,1118.23,5445.49,0.93,False
S001,nominal,chuck,C,R6,0.89773,0.911407,0.985596,0.032292,0.9476,0.93226,0,0.274709,0.636438,293.86,4621.11,0.93,False
S001,nominal,chuck,C,R7,0.0,0.0,0.0,0.353557,0.9476,0.93226,0,0.610066,0.77058,3217.36,7544.62,0.93,False
S001,nominal,chuck,D,R6,0.89736,0.892645,0.979234,0.034501,0.9476,0.93226,0,0.292952,0.643735,313.96,4641.22,0.93,False
S001,nominal,chuck,D,R7,0.0,0.0,0.0,0.364307,0.9476,0.93226,0,0.660718,0.790841,3315.19,7642.44,0.93,False
S001,nominal,cnc_controller,A,R2,0.88693,0.650106,0.813829,0.086431,0.92,0.93,0,0.298625,0.59945,3232.79,8210.79,0.93,False
S001,nominal,cnc_controller,A,R6,0.89783,0.745023,0.879642,0.051819,0.92,0.93,0,0.279256,0.591702,1938.19,6916.19,0.93,False
S001,nominal,cnc_controller,B,R2,0.72994,0.649569,0.813298,0.095111,0.92,0.93,0,0.315286,0.606114,3557.43,8535.43,0.93,False
S001,nominal,cnc_controller,B,R3,0.78954,0.661042,0.824511,0.106956,0.92,0.93,0,0.353551,0.621421,4000.45,8978.45,0.93,False
S001,nominal,cnc_controller,B,R6,0.89783,0.745023,0.879642,0.052019,0.92,0.93,0,0.291906,0.596762,1945.67,6923.67,0.93,False
S001,nominal,cnc_controller,C,R3,0.67086,0.625598,0.789045,0.155407,0.92,0.93,0,0.390709,0.636284,5812.66,10790.66,0.93,False
S001,nominal,cnc_controller,C,R6,0.8977,0.710902,0.850827,0.057478,0.92,0.93,0,0.309037,0.603615,2149.84,7127.84,0.93,False
S001,nominal,cnc_controller,C,R7,0.0,0.0,0.0,0.360974,0.92,0.93,0,0.659377,0.743751,13501.48,18479.48,0.93,False
S001,nominal,cnc_controller,D,R6,0.89731,0.67935,0.822196,0.063748,0.92,0.93,0,0.32848,0.611392,2384.38,7362.38,0.93,False
S001,nominal,cnc_controller,D,R7,0.0,0.0,0.0,0.364924,0.92,0.93,0,0.687957,0.755183,13649.22,18627.22,0.93,False
S001,nominal,column,A,R1,0.87948,0.897574,0.983888,0.036506,0.947855,0.939746,0,0.265967,0.652978,1768.65,11035.43,0.93,False
S001,nominal,column,A,R2,0.89056,0.896789,0.98364,0.03965,0.947855,0.939746,0,0.273773,0.656101,1920.98,11187.76,0.93,False
S001,nominal,column,A,R6,0.89783,0.955636,0.994605,0.025645,0.947855,0.939746,1,0.259624,0.650441,1242.44,10509.22,0.93,True
S001,nominal,column,B,R2,0.75115,0.896533,0.983558,0.046458,0.947855,0.939746,0,0.289078,0.662223,2250.78,11517.56,0.93,False
S001,nominal,column,B,R3,0.80774,0.903754,0.985778,0.0603,0.947855,0.939746,0,0.327869,0.677739,2921.42,12188.2,0.93,False
S001,nominal,column,B,R5,0.81255,0.902902,0.985525,0.065135,0.947855,0.939746,0,0.336439,0.681167,3155.65,12422.43,0.93,False
S001,nominal,column,B,R6,0.89783,0.955636,0.994605,0.025853,0.947855,0.939746,1,0.271954,0.655373,1252.51,10519.29,0.93,True
S001,nominal,column,C,R3,0.69514,0.881209,0.978313,0.102303,0.947855,0.939746,0,0.360171,0.69066,4956.33,14223.11,0.93,False
S001,nominal,column,C,R4,0.78161,0.877976,0.977114,0.121075,0.947855,0.939746,0,0.389391,0.702348,5865.83,15132.61,0.93,False
S001,nominal,column,C,R5,0.72055,0.880433,0.978028,0.108125,0.947855,0.939746,0,0.367351,0.693532,5238.43,14505.21,0.93,False
S001,nominal,column,C,R6,0.8977,0.941042,0.991078,0.02676,0.947855,0.939746,0,0.287549,0.661611,1296.44,10563.22,0.93,False
S001,nominal,column,C,R7,0.0,0.0,0.0,0.354765,0.947855,0.939746,0,0.645905,0.804954,17187.54,26454.32,0.93,False
S001,nominal,column,D,R4,0.54159,0.84743,0.964199,0.274574,0.947855,0.939746,0,0.502212,0.747476,13302.49,22569.27,0.93,False
S001,nominal,column,D,R6,0.89731,0.92569,0.986564,0.028702,0.947855,0.939746,0,0.305526,0.668802,1390.56,10657.34,0.93,False
S001,nominal,column,D,R7,0.0,0.0,0.0,0.358053,0.947855,0.939746,0,0.671938,0.815367,17346.88,26613.66,0.93,False
S001,nominal,control_system,A,R2,0.88782,0.597819,0.79296,0.077684,0.92,0.93,0,0.276005,0.590402,3190.03,8268.88,0.93,False
S001,nominal,control_system,A,R6,0.89783,0.769062,0.898489,0.043063,0.92,0.93,0,0.25681,0.582724,1768.34,6847.19,0.93,False
S001,nominal,control_system,B,R2,0.73038,0.5238,0.746816,0.094518,0.92,0.93,0,0.294273,0.597709,3881.33,8960.18,0.93,False
S001,nominal,control_system,B,R3,0.78974,0.685477,0.847482,0.090014,0.92,0.93,0,0.327804,0.611121,3696.37,8775.22,0.93,False
S001,nominal,control_system,B,R6,0.89783,0.769062,0.898489,0.043263,0.92,0.93,0,0.269208,0.587683,1776.55,6855.4,0.93,False
S001,nominal,control_system,C,R3,0.66898,0.650441,0.814159,0.138137,0.92,0.93,0,0.36503,0.626012,5672.51,10751.36,0.93,False
S001,nominal,control_system,C,R6,0.89771,0.735973,0.872229,0.04826,0.92,0.93,0,0.285914,0.594366,1981.75,7060.61,0.93,False
S001,nominal,control_system,C,R7,0.0,0.0,0.0,0.3548,0.92,0.93,0,0.634588,0.733835,14569.6,19648.45,0.93,False
S001,nominal,control_system,D,R6,0.89732,0.705203,0.845791,0.054129,0.92,0.93,0,0.304928,0.601971,2222.76,7301.61,0.93,False
S001,nominal,control_system,D,R7,0.0,0.0,0.0,0.3596,0.92,0.93,0,0.665623,0.746249,14766.71,19845.56,0.93,False
S001,nominal,coolant_lubrication_system,A,R2,0.88814,0.674982,0.837772,0.08113,0.92,0.93,0,0.234859,0.548944,901.26,3607.12,0.93,False
S001,nominal,coolant_lubrication_system,A,R6,0.89783,0.76935,0.898708,0.046229,0.92,0.93,0,0.216925,0.54177,513.55,3219.41,0.93,False
S001,nominal,coolant_lubrication_system,B,R2,0.73443,0.674539,0.837357,0.089164,0.92,0.93,0,0.250944,0.555378,990.51,3696.37,0.93,False
S001,nominal,coolant_lubrication_system,B,R3,0.79369,0.686767,0.848659,0.098967,0.92,0.93,0,0.283657,0.568463,1099.4,3805.26,0.93,False
S001,nominal,coolant_lubrication_system,B,R6,0.89783,0.76935,0.898708,0.046429,0.92,0.93,0,0.229575,0.54683,515.77,3221.63,0.93,False
S001,nominal,coolant_lubrication_system,C,R3,0.67667,0.652186,0.815878,0.144608,0.92,0.93,0,0.3183,0.58232,1606.42,4312.28,0.93,False
S001,nominal,coolant_lubrication_system,C,R6,0.89777,0.736279,0.872483,0.051412,0.92,0.93,0,0.246587,0.553635,571.13,3276.99,0.93,False
S001,nominal,coolant_lubrication_system,C,R7,0.0,0.0,0.0,0.347952,0.92,0.93,0,0.557551,0.67802,3865.32,6571.18,0.93,False
S001,nominal,coolant_lubrication_system,D,R6,0.89741,0.70557,0.846117,0.057173,0.92,0.93,0,0.265616,0.561247,635.12,3340.98,0.93,False
S001,nominal,coolant_lubrication_system,D,R7,0.0,0.0,0.0,0.360384,0.92,0.93,0,0.61371,0.700484,4003.42,6709.28,0.93,False
S001,nominal,coolant_system,A,R2,0.88798,0.655985,0.864569,0.075954,0.9417,0.92575,0,0.240732,0.587341,311.08,2844.97,0.93,False
S001,nominal,coolant_system,A,R6,0.89783,0.76712,0.923081,0.041677,0.9417,0.92575,0,0.222992,0.580245,170.7,2704.59,0.93,False
S001,nominal,coolant_system,B,R2,0.73385,0.655606,0.864205,0.084021,0.9417,0.92575,0,0.256842,0.593785,344.12,2878.01,0.93,False
S001,nominal,coolant_system,B,R3,0.79243,0.665918,0.87395,0.094188,0.9417,0.92575,0,0.289686,0.606922,385.76,2919.65,0.93,False
S001,nominal,coolant_system,B,R6,0.89783,0.76712,0.923081,0.041877,0.9417,0.92575,0,0.235642,0.585305,171.52,2705.41,0.93,False
S001,nominal,coolant_system,C,R3,0.67564,0.636779,0.845526,0.139008,0.9417,0.92575,0,0.32406,0.620672,569.33,3103.22,0.93,False
S001,nominal,coolant_system,C,R6,0.89777,0.737407,0.901526,0.04602,0.9417,0.92575,0,0.25243,0.59202,188.48,2722.37,0.93,False
S001,nominal,coolant_system,C,R7,0.0,0.0,0.0,0.347383,0.9417,0.92575,0,0.563385,0.716402,1422.76,3956.65,0.93,False
S001,nominal,coolant_system,D,R6,0.89741,0.710128,0.879558,0.050986,0.9417,0.92575,0,0.271244,0.599546,208.82,2742.71,0.93,False
S001,nominal,coolant_system,D,R7,0.0,0.0,0.0,0.359751,0.9417,0.92575,0,0.619329,0.73878,1473.42,4007.31,0.93,False
S001,nominal,drill_head,A,R1,0.87786,0.777002,0.92572,0.061034,0.943,0.902565,0,0.310724,0.642756,685.58,5041.42,0.93,False
S001,nominal,drill_head,A,R2,0.88974,0.775936,0.925005,0.064164,0.943,0.902565,0,0.318415,0.645833,720.74,5076.58,0.93,False
S001,nominal,drill_head,A,R6,0.89783,0.865236,0.962419,0.036055,0.943,0.902565,0,0.300842,0.638804,404.99,4760.83,0.93,False
S001,nominal,drill_head,B,R2,0.74178,0.775537,0.924737,0.071873,0.943,0.902565,0,0.334437,0.652242,807.33,5163.18,0.93,False
S001,nominal,drill_head,B,R3,0.79321,0.785319,0.931184,0.085799,0.943,0.902565,0,0.373881,0.668019,963.76,5319.6,0.93,False
S001,nominal,drill_head,B,R5,0.79807,0.784134,0.930417,0.090712,0.943,0.902565,0,0.382365,0.671413,1018.95,5374.79,0.93,False
S001,nominal,drill_head,B,R6,0.89783,0.865236,0.962419,0.036263,0.943,0.902565,0,0.313452,0.643848,407.33,4763.17,0.93,False
S001,nominal,drill_head,C,R3,0.67936,0.754395,0.909875,0.130904,0.943,0.902565,0,0.408519,0.681875,1470.42,5826.26,0.93,False
S001,nominal,drill_head,C,R5,0.70318,0.75343,0.909166,0.136539,0.943,0.902565,0,0.415283,0.68458,1533.71,5889.55,0.93,False
S001,nominal,drill_head,C,R6,0.89771,0.838751,0.948237,0.039094,0.943,0.902565,0,0.329876,0.650417,439.13,4794.97,0.93,False
S001,nominal,drill_head,C,R7,0.0,0.0,0.0,0.359283,0.943,0.902565,0,0.681962,0.791252,4035.74,8391.58,0.93,False
S001,nominal,drill_head,D,R6,0.89732,0.813269,0.93279,0.043,0.943,0.902565,0,0.348665,0.657933,483.01,4838.85,0.93,False
S001,nominal,drill_head,D,R7,0.0,0.0,0.0,0.364083,0.943,0.902565,0,0.713263,0.803772,4089.66,8445.5,0.93,False
S001,nominal,electrical_system,A,R2,0.88657,0.674855,0.837653,0.086919,0.92,0.93,0,0.254127,0.556651,428.27,2976.42,0.93,False
S001,nominal,electrical_system,A,R6,0.89783,0.769296,0.898666,0.048667,0.92,0.93,0,0.235022,0.549009,239.79,2787.94,0.93,False
S001,nominal,electrical_system,B,R2,0.72997,0.674347,0.837177,0.09536,0.92,0.93,0,0.270676,0.56327,469.86,3018.01,0.93,False
S001,nominal,electrical_system,B,R3,0.78704,0.686369,0.848297,0.105807,0.92,0.93,0,0.304556,0.576822,521.34,3069.48,0.93,False
S001,nominal,electrical_system,B,R6,0.89783,0.769296,0.898666,0.048867,0.92,0.93,0,0.247784,0.554114,240.78,2788.93,0.93,False
S001,nominal,electrical_system,C,R3,0.66873,0.651583,0.815285,0.152321,0.92,0.93,0,0.340623,0.591249,750.52,3298.67,0.93,False
S001,nominal,electrical_system,C,R6,0.89774,0.73622,0.872434,0.053855,0.92,0.93,0,0.264936,0.560974,265.36,2813.5,0.93,False
S001,nominal,electrical_system,C,R7,0.0,0.0,0.0,0.35261,0.92,0.93,0,0.583129,0.688251,1737.39,4285.54,0.93,False
S001,nominal,electrical_system,D,R6,0.89739,0.705499,0.846055,0.059636,0.92,0.93,0,0.284155,0.568662,293.84,2841.99,0.93,False
S001,nominal,electrical_system,D,R7,0.0,0.0,0.0,0.365392,0.92,0.93,0,0.64056,0.711224,1800.37,4348.52,0.93,False
S001,nominal,feed_gearbox,A,R1,0.87888,0.535094,0.825912,0.068421,0.9436,0.91811,0,0.263027,0.624693,2978.45,8131.58,0.93,False
S001,nominal,feed_gearbox,A,R2,0.89017,0.590562,0.850592,0.066968,0.9436,0.91811,0,0.26951,0.627286,2915.17,8068.3,0.93,False
S001,nominal,feed_gearbox,A,R6,0.89783,0.866274,0.962727,0.03146,0.9436,0.91811,0,0.250188,0.619557,1369.47,6522.59,0.93,False
S001,nominal,feed_gearbox,B,R2,0.74308,0.522778,0.819052,0.080149,0.9436,0.91811,0,0.286618,0.634129,3488.95,8642.08,0.93,False
S001,nominal,feed_gearbox,B,R3,0.80002,0.787219,0.931987,0.073567,0.9436,0.91811,0,0.319386,0.647236,3202.43,8355.56,0.93,False
S001,nominal,feed_gearbox,B,R5,0.80489,0.786049,0.931235,0.078376,0.9436,0.91811,0,0.327775,0.650592,3411.79,8564.92,0.93,False
S001,nominal,feed_gearbox,B,R6,0.89783,0.866274,0.962727,0.03166,0.9436,0.91811,0,0.262586,0.624517,1378.17,6531.3,0.93,False
S001,nominal,feed_gearbox,C,R3,0.68427,0.73217,0.90099,0.120005,0.9436,0.91811,0,0.353973,0.661071,5223.95,10377.08,0.93,False
S001,nominal,feed_gearbox,C,R5,0.70833,0.752115,0.908808,0.123978,0.9436,0.91811,0,0.360277,0.663593,5396.9,10550.03,0.93,False
S001,nominal,feed_gearbox,C,R6,0.89771,0.839852,0.948617,0.03447,0.9436,0.91811,0,0.278745,0.63098,1500.5,6653.62,0.93,False
S001,nominal,feed_gearbox,C,R7,0.0,0.0,0.0,0.35395,0.9436,0.91811,0,0.628225,0.770772,15407.82,20560.94,0.93,False
S001,nominal,feed_gearbox,D,R6,0.89733,0.814415,0.933238,0.03834,0.9436,0.91811,0,0.297239,0.638378,1668.99,6822.12,0.93,False
S001,nominal,feed_gearbox,D,R7,0.0,0.0,0.0,0.3596,0.9436,0.91811,0,0.662023,0.784291,15653.77,20806.89,0.93,False
S001,nominal,feed_mechanism,A,R2,0.88662,0.80777,0.94954,0.085881,0.941,0.90086,0,0.279445,0.62684,293.94,4469.18,0.93,False
S001,nominal,feed_mechanism,A,R6,0.89783,0.894561,0.977668,0.044365,0.941,0.90086,0,0.258854,0.618604,151.84,4327.08,0.93,False
S001,nominal,feed_mechanism,B,R2,0.73594,0.807253,0.949253,0.094067,0.941,0.90086,0,0.296614,0.633708,321.95,4497.19,0.93,False
S001,nominal,feed_mechanism,B,R3,0.77614,0.816879,0.954453,0.108247,0.941,0.90086,0,0.333313,0.648387,370.48,4545.73,0.93,False
S001,nominal,feed_mechanism,B,R5,0.78347,0.815848,0.95391,0.112779,0.941,0.90086,0,0.341223,0.651551,386.0,4561.24,0.93,False
S001,nominal,feed_mechanism,B,R6,0.89783,0.894561,0.977668,0.044573,0.941,0.90086,0,0.271989,0.623858,152.56,4327.8,0.93,False
S001,nominal,feed_mechanism,C,R3,0.66015,0.787695,0.937809,0.153019,0.941,0.90086,0,0.37076,0.663366,523.72,4698.96,0.93,False
S001,nominal,feed_mechanism,C,R5,0.68526,0.786976,0.937367,0.157652,0.941,0.90086,0,0.376029,0.665474,539.58,4714.82,0.93,False
S001,nominal,feed_mechanism,C,R6,0.89771,0.871226,0.967752,0.046652,0.941,0.90086,0,0.288889,0.630617,159.67,4334.91,0.93,False
