artifact_id,artifact_type,source_file,source_exists,warnings,generated_at_utc
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage6\solution_summary.json,True,,2026-07-10T13:09:24.335341+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage6\solution_checks.json,True,,2026-07-10T13:09:24.335341+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\processed\stage7\model_summary.json,True,,2026-07-10T13:09:24.335341+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage7\solution_checks.json,True,,2026-07-10T13:09:24.335341+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\processed\stage8\model_summary.json,True,,2026-07-10T13:09:24.335341+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\processed\stage8\instance_summary.json,True,,2026-07-10T13:09:24.335341+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage8\solution_checks.json,True,,2026-07-10T13:09:24.335341+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage3\selected_component_routes.csv,True,,2026-07-10T13:09:24.335341+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage4\scenario_selected_component_routes.csv,True,,2026-07-10T13:09:24.335341+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage5\scenario_selected_component_routes.csv,True,,2026-07-10T13:09:24.335341+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage6\scenario_selected_component_routes.csv,True,,2026-07-10T13:09:24.335341+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage7\pareto_front.csv,True,,2026-07-10T13:09:24.335341+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage7\grid_solution_summary.csv,True,,2026-07-10T13:09:24.335341+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\processed\stage7\payoff_table.csv,True,,2026-07-10T13:09:24.335341+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage8\approx_pareto_front.csv,True,,2026-07-10T13:09:24.335341+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage8\iteration_log.csv,True,,2026-07-10T13:09:24.335341+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage8\operator_scores.csv,True,,2026-07-10T13:09:24.335341+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage8\large_benchmark_summary.csv,True,,2026-07-10T13:09:24.335341+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage9\baseline_comparison.csv,True,,2026-07-10T13:09:24.335341+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage9\ablation_study.csv,True,,2026-07-10T13:09:24.335341+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage9\saa_stability.csv,True,,2026-07-10T13:09:24.335341+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage9\sensitivity_summary.csv,True,,2026-07-10T13:09:24.335341+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage9\exact_vs_matheuristic_gap.csv,True,,2026-07-10T13:09:24.335341+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage9\top5_benchmark_summary.csv,True,,2026-07-10T13:09:24.335341+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\processed\stage10\environmental_objective_breakdown.csv,True,,2026-07-10T13:09:24.335341+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage10\shared_capacity_comparison.csv,True,,2026-07-10T13:09:24.335341+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage10\shared_capacity_utilization.csv,True,,2026-07-10T13:09:24.335341+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage12\operational_reality_audit.csv,True,,2026-07-10T13:09:24.335341+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage7\representative_solutions.json,True,,2026-07-10T13:09:24.335341+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage8\incumbent_solution_summary.json,True,,2026-07-10T13:09:24.335341+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage10\pair_carbon_summary.json,True,,2026-07-10T13:09:24.335341+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage10\shared_capacity_solution_summary.json,True,,2026-07-10T13:09:24.335341+00:00
T2_baseline_and_ablation,table,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage9\baseline_comparison.csv,True,,2026-07-10T13:09:24.341858+00:00
T2_baseline_and_ablation,table,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage9\ablation_study.csv,True,,2026-07-10T13:09:24.341858+00:00
T3_pareto_payoff_and_representatives,table,D:\File Station\Science\论文WIP\Remanufacturing\data\processed\stage7\payoff_table.csv,True,,2026-07-10T13:09:24.344870+00:00
T3_pareto_payoff_and_representatives,table,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage7\representative_solutions.json,True,,2026-07-10T13:09:24.344870+00:00
T4_exact_vs_matheuristic_and_top5,table,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage9\exact_vs_matheuristic_gap.csv,True,,2026-07-10T13:09:24.349885+00:00
T4_exact_vs_matheuristic_and_top5,table,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage9\top5_benchmark_summary.csv,True,,2026-07-10T13:09:24.349885+00:00
T5_risk_selective_assembly_metrics,table,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage5\solution_summary.json,True,,2026-07-10T13:09:24.351889+00:00
T5_risk_selective_assembly_metrics,table,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage6\solution_summary.json,True,,2026-07-10T13:09:24.351889+00:00
T6_stage10_strengthening,table,D:\File Station\Science\论文WIP\Remanufacturing\data\processed\stage10\environmental_objective_breakdown.csv,True,,2026-07-10T13:09:24.356997+00:00
T6_stage10_strengthening,table,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage10\shared_capacity_comparison.csv,True,,2026-07-10T13:09:24.356997+00:00
T6_stage10_strengthening,table,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage10\pair_carbon_summary.json,True,,2026-07-10T13:09:24.356997+00:00
T6_stage10_strengthening,table,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage10\shared_capacity_solution_summary.json,True,,2026-07-10T13:09:24.356997+00:00
T7_saa_sensitivity_manifest,table,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage9\saa_stability.csv,True,,2026-07-10T13:09:24.359004+00:00
T7_saa_sensitivity_manifest,table,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage9\sensitivity_summary.csv,True,,2026-07-10T13:09:24.359004+00:00
